哈希值,标题,公布日期,实施日期
7b03cfa0088a73325fd9a3748c752eb4,安徽省工会劳动法律监督条例,2019-12-23,2020-05-01
6d289b92e9f3634d518316c7efdb39d9,安徽省宗教事务条例,2019-12-23,2020-03-01
fddf240f4f8987114c899c7191857296,巢湖流域水污染防治条例,2019-12-23,2020-03-01
3c68758f297c90b55f3e8e17bc8d6e22,新疆维吾尔自治区人民代表大会及其常务委员会立法条例,2019-12-19,2019-12-19
1671733fa62d03f3db7c9e904d0c1132,上海市排水与污水处理条例,2019-12-19,2020-05-01
12767a57863f009a0c867be1f8f59e16,上海市家政服务条例,2019-12-19,2020-05-01
c4a71ef371bfff1105e0425890cd1077,上海市司法鉴定管理条例,2019-12-19,2020-05-01
f4c18913f4aa3d22cb3d5d41f9c8f4ae,黑龙江省哈尔滨新区条例,2019-12-18,2020-02-01
a2f9b9daebe5960f89588567debba575,天津市基本医疗保险条例,2019-12-11,2020-03-01
54c85ebc437e9719485414fcd3c6eff0,天津市农业机械化促进条例,2019-12-11,2020-01-01
2e8ec61d1400f78bebce05f3995268f8,天津市土壤污染防治条例,2019-12-11,2020-01-01
73d78647be594d87e5686577d9e7d0b8,安徽省志愿服务条例,2019-12-02,2020-01-01
bbbd3d34b5f46c2005e705a5f167630e,贵州省反家庭暴力条例,2019-12-01,2020-03-01
31dd71844c9691916ee2d2a4908c4cb2,贵州省古树名木大树保护条例,2019-12-01,2020-02-01
f9b9b2274efec0f68a55ae413aa30338,陕西省宗教事务条例,2019-11-29,2020-04-01
0467e125a0f9a57736bb78b1731aeefa,重庆市物业管理条例,2019-11-29,2020-05-01
cc94e152acb7a7c3fbc1a45ddeb8447a,重庆市城市园林绿化条例,2019-11-29,2020-03-01
0320e3dbfcc5a86905d5cc7269752760,重庆市司法鉴定条例,2019-11-29,2019-11-29
07a0dd2b0ecc700d0d89f245a21066f8,重庆市村民委员会选举办法,2019-11-29,2019-11-29
323a7f8d1304f146c5450873605c958f,重庆市农业机械化促进条例,2019-11-29,2020-03-01
303fc7253e3451e57ff910427db63a8e,福建省实施《中华人民共和国渔业法》办法,2019-11-29,2019-11-29
2b30f6ca461595676f25c8e9998f23ed,甘肃省石油勘探开发生态环境保护条例,2019-11-29,2020-01-01
74754a975d880b852509ab896ce7f83a,湖北省合同监督条例,2019-11-29,2019-11-29
c9dadd224b52b36bb7e5eb5de104a7af,湖北省村民委员会选举办法,2019-11-29,2019-11-29
03200cd41ba99ddee87a873849f7c146,湖北省实施《中华人民共和国村民委员会组织法》办法,2019-11-29,2019-11-29
6457e738d37331c3753832675a6f3ea3,湖北省农业自然资源综合管理条例,2019-11-29,2019-11-29
cfb32330e5e34737a21bdad389ec324a,湖北省就业促进条例,2019-11-29,2019-11-29
fc6b4a3b3dd02774d7a41f06a6963184,湖北省实施《中华人民共和国防洪法》办法,2019-11-29,2019-11-29
be2951fa7b24a3055dbeac52758c1d07,湖北省农业生态环境保护条例,2019-11-29,2019-11-29
a43a437a91ac53d256471192d545a845,湖北省实施《中华人民共和国水法》办法,2019-11-29,2019-11-29
82b97eae2bc8b1c41cc5b265b3d0c428,湖北省农村五保供养条例,2019-11-29,2019-11-29
075793edaac499bac65aa43d4ba5876a,湖北省建筑市场管理条例,2019-11-29,2019-11-29
db6e5a22453810dd3f087cdea4b6174a,湖北省物业服务和管理条例,2019-11-29,2019-11-29
051c93adc6e6e04546d53e8577a486b8,湖北省实施《中华人民共和国老年人权益保障法》办法,2019-11-29,2019-11-29
070ce1230c34cc536f4ca94d72dd9268,湖北省抗旱条例,2019-11-29,2019-11-29
d9a55339ac1a5d01b0fbbec5e81ccd47,湖北省实施《中华人民共和国广告法》办法,2019-11-29,2019-11-29
e4233ae9abde8f6005628a94f6deaaaf,湖北省人口与计划生育条例,2019-11-29,2019-11-29
22e537c933de7da06f233e4e4467082a,湖北省实施《中华人民共和国城市居民委员会组织法》办法,2019-11-29,2019-11-29
30efe8e3dce0e14147d5e910c962382e,湖北省水污染防治条例,2019-11-29,2019-11-29
15ea40e6396e2b6773ea57c7d7309509,湖北省土壤污染防治条例,2019-11-29,2019-11-29
7ab70740435f181ca388182c28f13939,神农架国家公园保护条例,2019-11-29,2019-11-29
0a53a2ba2fac70bd2b2be8a861b499a1,湖北省宗教事务条例,2019-11-29,2020-03-01
d98ea587b9d6d57814e8eae1ea2d7356,湖北省开发区条例,2019-11-29,2020-03-01
4977b6ae6fcefab366d78456b4a83db7,海南省社会保障卡一卡通服务管理条例,2019-11-29,2020-01-01
c9fe057b97312cb986d0597fe497bdb7,海南省生活垃圾管理条例,2019-11-29,2020-10-01
868bc3e0da5940d1b88090703b823639,义乌国际贸易综合改革试验区条例,2019-11-29,2020-01-01
014a51501892e00638656bb4cf885dd0,浙江省街道人大工作条例,2019-11-29,2020-01-01
fa868d25d79bc3e57f116169159c741f,河南省宗教事务条例,2019-11-29,2020-03-01
36d6c0a666066e5c48472ffeba2291ca,河南省旅游条例,2019-11-29,2020-04-01
352e01bd6c7dce3dbd9ce865d561b111,河南省社会信用条例,2019-11-29,2020-05-01
47168a4cb18c24e884757598de918cdb,河北省燃气管理条例,2019-11-29,2020-04-01
11c8ce7f7aba28e0957210f4b4911d12,河北省禁毒条例,2019-11-29,2020-01-01
d06b49f44b639fd305f96dfa9947b3e5,江苏省宗教事务条例,2019-11-29,2020-03-01
c0fb1d62999323271d5ef351a4fbcd9a,江苏省种子条例,2019-11-29,2020-03-01
